page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
62,3788496,BTS - Fake Love (English Translation),https://genius.com/Genius-english-translations-bts-fake-love-english-translation-lyrics,/Genius-english-translations-bts-fake-love-english-translation-lyrics,https://images.genius.com/17ec7a755c21bdc7370645f5766d5513.820x820x1.jpg,9,15,196943,Genius English Translations,https://genius.com/artists/Genius-english-translations,https://images.genius.com/b01f5d4fd568ce31889aa98bf83bd24e.222x222x1.png
62,2472233,Smoke Break,https://genius.com/Chance-the-rapper-smoke-break-lyrics,/Chance-the-rapper-smoke-break-lyrics,https://images.genius.com/b17a54d05a3de269cc6ea53c3f71f73e.1000x1000x1.jpg,25,43,16751,Chance the Rapper,https://genius.com/artists/Chance-the-rapper,https://images.genius.com/9db1a9643a028d62543e44c90da3a6ad.1000x1000x1.jpg
62,3113504,Fall,https://genius.com/Davido-fall-lyrics,/Davido-fall-lyrics,https://images.genius.com/d20bb81a673f6f560e5029fd2c089757.500x500x1.jpg,11,6,20698,Davido,https://genius.com/artists/Davido,https://images.genius.com/5be1075030b68c158c7ce8f41385b301.576x576x1.jpg
62,3876942,NC-17,https://genius.com/Travis-scott-nc-17-lyrics,/Travis-scott-nc-17-lyrics,https://images.genius.com/0d7f07bc4caf376850e68900f4974ca4.1000x573x1.jpg,13,18,20185,Travis Scott,https://genius.com/artists/Travis-scott,https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
63,2845248,Figures,https://genius.com/Jessie-reyez-figures-lyrics,/Jessie-reyez-figures-lyrics,https://images.genius.com/1311c2a2b9860616de4e9cdca44d41fa.500x500x1.jpg,16,37,292980,Jessie Reyez,https://genius.com/artists/Jessie-reyez,https://images.genius.com/c92134f68588c0f249db8c3ed76494e8.667x667x1.jpg
63,2273437,Losers,https://genius.com/The-weeknd-losers-lyrics,/The-weeknd-losers-lyrics,https://images.genius.com/4d6a3a9b56e2b1073e36a7979b46b6d3.1000x1000x1.jpg,7,26,2358,The Weeknd,https://genius.com/artists/The-weeknd,https://images.genius.com/3cd68c66d12d757c908ddbdcefb581e8.441x441x1.jpg
63,3379255,Bank Account (Remix),https://genius.com/Joyner-lucas-bank-account-remix-lyrics,/Joyner-lucas-bank-account-remix-lyrics,https://images.genius.com/ecca15335a959023204bb771ef33427e.1000x1000x1.jpg,30,52,345077,Joyner Lucas,https://genius.com/artists/Joyner-lucas,https://images.genius.com/878e845295c819856874c2de04d464e7.794x794x1.jpg
63,3807760,Finesse,https://genius.com/Drake-finesse-lyrics,/Drake-finesse-lyrics,https://images.genius.com/2fee80dd9aec0717aef8e1eb7aaaae4c.809x809x1.jpg,7,20,130,Drake,https://genius.com/artists/Drake,https://images.genius.com/22999a3378819809ee4848f7c60a744c.1000x1000x1.jpg
63,2922361,Humanoïde,https://genius.com/Nekfeu-humanoide-lyrics,/Nekfeu-humanoide-lyrics,https://images.genius.com/3a6d95929a9178e488e28ed060967ca1.1000x1000x1.jpg,75,48,13063,Nekfeu,https://genius.com/artists/Nekfeu,https://images.genius.com/5f89988a816404d2f29ad1925e639058.489x489x1.png
63,2408471,Purple Reign,https://genius.com/Future-purple-reign-lyrics,/Future-purple-reign-lyrics,https://images.genius.com/ec698cda4f9c3539728583373a72b3c6.500x500x1.jpg,27,23,2197,Future,https://genius.com/artists/Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg
